ch,yue,yue-nn,yue-wz
挜位,aa wai,aa wai,aa wai
挜位,ngaa wai,ngaa wai,ngaa wai
挜定,ngaa deng,ngaa deng,ngaa ding
挜碇,ngaa deng,ngaa ding,ngaa ding
挝,zaa,zaa,zaa
挝,wo,wo,wo
挝,gwo,wo,wo
挞,taat,taat,taat
挞,daat,daat,daat
挞出嚟,daat ceot lai,daat cyut lai,daat cat lai
挞大佬朵,daat daai lou do,daat daai lu do,daat daai lu do
挞定,taat deng,taat deng,taat ding
挞定,taat ding,taat ding,taat ding
挞数,daat sou,daat su,daat su
挞数,taat sou,taat su,taat su
挞朵,daat do,daat do,daat do
挞死,daat sei,daat sli,daat si
挞生鱼,daat saang jyu,daat saang jyu,daat saang jyu
挟,hip,hip,hip
挟,gaap,gaap,gaap
挟,haap,gep,gaap
挟,gip,haap,haap
挟,gep,haap,haap
挟亲,gip can,haap can,haap can
挟带,haap daai,gep daai,gaap daai
挟脚,gep goek,haap goek,haap goek
挟脚,gip goek,haap goek,haap goek
挠,naau,naau,naau
挠,jaau,jaau,jaau
挠,ngaau,jaau,jaau
挡,dong,dong,dong
挢,giu,giu,giu
挣,zaang,zaang,zaang
挣,zang,zang,zang
挣满晒,zaang mun saai,zaang mun saai,zaang mun saai
挣钱,zaang cin,zaang cin,zaang cin
挤,zai,zai,zai
挤,zai,zi,zai
挥,fai,fai,fai
挥,fai,wai,fai
挦,cam,cam,cam
挦,cim,cim,cim
挧,jyu,jyu,jyu
挨,aai,aai,aai
挨,ngaai,ngaai,ngaai
挨,oi,ngaai,ngaai
挨世界,ngaai sai gaai,ngaai sai gaai,ngaai sai gaai
挨义气,ngaai ji hei,ngaai ji hi,ngaai ji hi
挨佬,ngaai lou,ngaai lu,ngaai lu
挨凭,aai bang,aai bang,aai baang
挨凭,ngaai pang,ngaai pang,ngaai paang
挨凭椅,aai peng ji,aai bang ji,aai baang ji
挨剋,ngaai hak,ngaai hak,ngaai hak
挨呲儿,ngaai zi ji,ngaai zi ji,ngaai zi ji
挨呲兒,ngaai zi ji,ngaai zi ji,ngaai zi ji
挨坏,ngaai waai,ngaai waai,ngaai waai
挨壞,ngaai waai,ngaai waai,ngaai waai
挨夜,ngaai je,ngaai je,ngaai je
挨夹棍,ngaai gaap gwan,ngaai gaap gwan,ngaai gaap gwan
挨夾棍,ngaai gaap gwan,ngaai gaap gwan,ngaai gaap gwan
挨宰,ngaai zoi,ngaai zoi,ngaai zoi
挨延,ngaai jin,ngaai jin,ngaai jin
挨得,ngaai dak,ngaai dak,ngaai dak
挨憑,aai bang,aai bang,aai baang
挨憑,ngaai pang,ngaai pang,ngaai paang
挨憑椅,aai peng ji,aai bang ji,aai baang ji
挨打受气,ngaai daa sau hei,ngaai daa sau hi,ngaai daa sau hi
挨打受氣,ngaai daa sau hei,ngaai daa sau hi,ngaai daa sau hi
挨打受罵,ngaai daa sau maa,ngaai daa sau maa,ngaai daa sau maa
挨打受骂,ngaai daa sau maa,ngaai daa sau maa,ngaai daa sau maa
挨批,ngaai pai,ngaai pai,ngaai pai
挨拼椅,ngaai peng ji,ngaai ping ji,ngaai ping ji
挨挨凭凭,aai aai bang bang,aai aai bang bang,aai aai baang baang
挨挨憑憑,aai aai bang bang,aai aai bang bang,aai aai baang baang
挨揍,ngaai zau,ngaai zau,ngaai zau
挨整,ngaai zing,ngaai zing,ngaai zing
挨斋,ngaai zaai,ngaai zaai,ngaai zaai
挨斗,ngaai dau,ngaai dau,ngaai dau
挨更抵夜,ngaai gaang dai je,ngaai gaang dai je,ngaai gaang dai je
挨板子,ngaai baan zi,ngaai baan zi,ngaai baan zi
挨生挨死,ngaai saang ngaai sei,ngaai saang ngaai sli,ngaai saang ngaai si
挨生挨死,ngaai sang ngaai sei,ngaai saang ngaai sli,ngaai saang ngaai si
挨白饭,ngaai baak faan,ngaai baak faan,ngaai baak faan
挨眼瞓,ngaai ngaan fan,ngaai ngaan fan,ngaai ngaan fan
挨肚饿,ngaai tou ngo,ngaai tu ngo,ngaai tu ngo
挨苦,ngaai fu,ngaai fu,ngaai fu
挨街凭巷,aai gaai bang hong,aai gaai bang hong,aai gaai baang hong
挨谷种,ngaai guk zung,ngaai guk zung,ngaai guk zung
挨闹,ngaai naau,ngaai naau,ngaai naau
挨面包,ngaai min baau,ngaai min baau,ngaai min baau
挨飢抵餓,ngaai gei dai ngo,ngaai gi dai ngo,ngaai gi dai ngo
挨饥抵冷,ngaai gei dai laang,ngaai gi dai laang,ngaai gi dai laang
挨饥抵饿,ngaai gei dai ngo,ngaai gi dai ngo,ngaai gi dai ngo
挨驴仔,ngaai leoi zai,ngaai lyu zai,ngaai lyu zai
挨骡仔,ngaai leoi zai,ngaai lo zai,ngaai lo zai
挨鬥,ngaai dau,ngaai dau,ngaai dau
挨齋,ngaai zaai,ngaai zaai,ngaai zaai
挩,tyut,tyut,tyut
挩,seoi,sui,sui
挪,no,no,no
挫,co,co,co
挬,but,but,but
挭,gaang,gaang,gaang
挮,tai,tai,tai
振,zan,zan,zan
振,caang,zan,zan
挰,caang,caang,caang
挱,so,slo,so
挲,saa,saa,saa
挲,so,slo,so
挳,hang,hang,hang
挳,hin,hin,hin
挴,mui,mui,mui
挵,lung,lung,lung
挶,guk,guk,guk
挷,pong,pong,pong
挸,gaan,gaan,gaan
挹,jap,jap,jap
挺,ting,ting,ting
挺括,ting gwaat,ting gwet,ting gwaat
挻,sin,sin,sin
挻,saan,sen,saan
挻,saan,saan,saan
挼,no,no,no
挽,waan,waan,waan
挽,waan,wen,waan
挽油瓶,waan jau peng,waan jau ping,waan jau ping
挾,hip,hip,hip
挾,gaap,gaap,gaap
挾,haap,gep,gaap
挾,gip,haap,haap
挾,gep,haap,haap
挾帶,haap daai,gep daai,gaap daai
挾腳,gep goek,haap goek,haap goek
挾腳,gip goek,haap goek,haap goek
挾親,gip can,haap can,haap can
挾餸,gaap sung,gaap slung,gaap sung
挿,caap,caap,caap
捀,fung,fung,fung
捁,gaau,gaau,gaau
捂,ng,ng,ng
捂,wu,wu,wu
捃,kwan,kwan,kwan
捃,gwan,gwan,gwan
捄,gau,gau,gau
捄,kau,kau,kau
捄,geoi,gau,gau
捅,tung,tung,tung
捅,tung,dung,dung
捆,kwan,kwan,kwan
捇,waak,waak,waak
捇,cik,cik,cik
捈,caa,tu,tu
捈,tou,tu,tu
捈,syu,tu,tu
捉,zuk,zok,zok
捉匿匿,zuk nei nei,zok nik nik,zok nik nik
捉匿匿,zuk nik nik,zok nik nik,zok nik nik
捉虫入屎朏,zuk cung jap si fat,zok cung jap si fi,zok cung jap si fi
捉蛇入屎朏,zuk se jap si fat,zok se jap si fi,zok se jap si fi
捉蟲入屎朏,zuk cung jap si fat,zok cung jap si fi,zok cung jap si fi
捉襟見肘,zuk kam gin zaau,zok kam gin zau,zok kam gin zau
捉襟見肘,zuk kam gin zau,zok kam gin zau,zok kam gin zau
捉襟见肘,zuk kam gin zaau,zok kam gin zau,zok kam gin zau
捉襟见肘,zuk kam gin zau,zok kam gin zau,zok kam gin zau
捊,pau,pau,pau
捋,lyut,lyut,lyut
捌,baat,baat,baat
捌,baat,bet,baat
捍,hon,hon,hon
捍,gon,hon,hon
捎,saau,saau,saau
捎,siu,slaau,saau
捏,nip,nip,nip
捏,nip,net,nit
捏,nip,nit,nip
捐,gyun,gyun,gyun
捐裤裆,gyun fu long,gyun fu nong,gyun fu nong
捐褲襠,gyun fu long,gyun fu nong,gyun fu nong
捑,sik,zaak,zaak
捒,cuk,cuk,cuk
捓,je,je,je
捔,gok,gok,gok
捕,bou,pu,pu
捕,bou,bu,bu
捕捞,bou laau,pu lu,pu lou
捕捞,bou lau,pu leu,pu laau
捕撈,bou laau,pu lu,pu lou
捕撈,bou lau,pu leu,pu laau
捖,jyun,jyun,jyun
捖,gwaat,gwaat,gwaat
捗,bou,bu,bu
捗,pou,bu,bu
捗,zik,zik,zik
捘,zeon,zan,zan
捘,zeoi,zui,zui
捘,zyun,zyun,zyun
捙,jai,jai,jai
捚,zaai,zaai,zaai
捛,leoi,lyu,lyu
捜,sau,slau,sau
捝,tyut,tyut,tyut
捝,seoi,sui,sui
捞,lou,laau,laau
捞,laau,lu,lou
捞,lau,leu,laau
捞一把,laau jat baa,lu jat baa,lou jat baa
捞人,laau jan,lu jan,lou jan
捞什子,lou zaap zi,laau zaap zi,laau zaap zi
捞仔,laau zai,lu zai,lou zai
捞仔,lou zai,laau zai,laau zai
捞佬,laau lou,lu lu,lou lu
捞取,laau ceoi,lu cyu,lou cyu
捞取,lau ceoi,leu cyu,laau cyu
捞哨,laau saau,lu saau,lou saau
捞嘢,laau je,lu je,lou je
捞嘢,lou je,laau je,laau je
捞埋,laau maai,lu maai,lou maai
捞埋,lou maai,laau maai,laau maai
捞头,laau tau,lu tau,lou tau
捞妹,laau mui,lu mui,lou mui
捞婆,laau po,lu po,lou po
捞底,laau dai,lu dai,lou dai
捞搅,laau gaau,lu gaau,lou gaau
捞松,laau sung,lu slung,lou sung
捞歌,laau go,lu go,lou go
捞稻草,laau dou cou,lu du cu,lou dou cou
捞绞,laau gaau,lu gaau,lou gaau
捞起,lau hei,leu hi,laau hi
捞起,lou hei,laau hi,laau hi
捞起啦,lou hei laa,laau hi laa,laau hi laa
捞钱,laau cin,lu cin,lou cin
捞閪,laau hai,lu hai,lou hai
捞静水,laau zing seoi,lu zing sui,lou zing sui
捞静水,lou zing seoi,laau zing sui,laau zing sui
捞鱼,laau jyu,lu jyu,lou jyu
捞鸡,laau gai,lu gai,lou gai
捞鸡,lou gai,laau gai,laau gai
损,syun,slyun,syun
捠,bang,bang,bang
捡,gim,gim,gim
换,wun,wun,wun
换行,wun hong,wun hong,wun hong
捣,dou,du,dou
捤,mei,mi,mi
捥,wun,wun,wun
捦,kam,kam,kam
捧,pung,pung,pung
捧,paang,bung,bung
捧,bung,bung,bung
捧,fung,bung,bung
捨,se,se,se
捨車保帥,se geoi bou seoi,se gyu bu sui,se gyu bou sui
捩,lai,lai,lai
捩,lit,lit,lit
捩,leoi,lit,lit
捩,le,lit,lit
捩咁弃,lit gam hei,lit gam hi,lit gam hi
捩咁棄,lit gam hei,lit gam hi,lit gam hi
捩弃,le he,lit hi,lit hi
捩棄,le he,lit hi,lit hi
捩横折曲,lai waang zit kuk,lai waang zit kuk,lai waang zit kuk
捪,man,man,man
捫,mun,mun,mun
捬,fu,fu,fu
捭,baai,baai,baai
据,geoi,gyu,gyu
捯,dou,du,dou
捰,wo,wo,wo
捱,ngaai,ngaai,ngaai
捱生捱死,ngaai saang ngaai sei,ngaai saang ngaai sli,ngaai saang ngaai si
捱生捱死,ngaai sang ngaai sei,ngaai saang ngaai sli,ngaai saang ngaai si
捲,gyun,gyun,gyun
捳,ngok,ngok,ngok
捴,zung,zung,zung
捵,din,tin,tin
捵,can,can,can
捵床捵席,din cong din zek,tin cong tin zek,tin cong tin zek
捵牀捵席,din cong din zek,tin cong tin zek,tin cong tin zek
捶,ceoi,cui,cui
捷,zit,zit,zit
捷,cip,zit,zit
捷克,zit haak,zit kak,zit kak
捷克,zit hak,zit hak,zit hak
捷克人,zit hak jan,zit hak jan,zit hak jan
捷克共和国,zit hak gung wo gwok,zit hak gung wo gok,zit hak gung wo gok
捷克共和國,zit hak gung wo gwok,zit hak gung wo gok,zit hak gung wo gok
捷克語,zit hak jyu,zit hak jyu,zit hak jyu
捷克语,zit hak jyu,zit hak jyu,zit hak jyu
捸,dat,dat,dat
捹,fing,ban,bing
捹,fing,fing,fing
捺,naat,naat,naat
捻,nin,nin,nin
捻,nip,nip,nip
捻,nan,nen,naan
捻,nim,nan,nan
捻,nim,nim,nim
捼,no,no,no
捽,zeot,zat,zat
捽,cyut,zyut,zyut
捽,zyut,zyut,zyut
捾,wut,wut,wut
捿,cai,cai,cai
掀,hin,hin,hin
掀涌,hin jung,hin jung,hin jung
掁,caang,caang,caang
掂,dim,dim,dim
掂行掂过,dim haang dim gwo,dim haang dim go,dim haang dim go
掂行掂過,dim haang dim gwo,dim haang dim go,dim haang dim go
掃,sou,slu,sou
掃埋來,sou maai lai,slu maai lai,sou maai lai
掃埋嚟,sou maai lei,slu maai lai,sou maai lai
掃帚,sou zaau,slu zau,sou zau
掃帚,sou zau,slu zau,sou zau
掃帚星,sou zau sing,slu zau sling,sou zau sing
掄,leon,lan,lan
掅,cing,cing,cing
掆,gong,gong,gong
掇,zyut,zyut,zyut
掇,dyut,dyut,dyut
授,sau,sau,sau
掉,diu,diu,diu
掉,deu,deu,daau
掉,zaau,deu,daau
掊,pau,pau,pau
掊,fau,pau,pau
掋,dai,dai,dai
掌,zoeng,zoeng,zoeng
掌声,zoeng sing,zoeng sing,zoeng sing
掌聲,zoeng sing,zoeng sing,zoeng sing
掍,wan,wan,wan
掍,gwan,gwan,gwan
掎,gei,gi,gi
掏,tou,tu,tou
掐,haap,haap,haap
掐,haap,kaa,kaap
掐,haap,caa,caap
掑,kei,ki,ki
排,paai,paai,paai
排,bik,paai,paai
排排坐,paai paai co,paai paai co,paai paai co
排柵,paai saan,paai saan,paai saan
排栅,paai saan,paai saan,paai saan
排笙,paai saang,paai saang,paai saang
排長,paai zoeng,paai zoeng,paai zoeng
排長龍,paai coeng lung,paai coeng lung,paai coeng lung
排长,paai zoeng,paai zoeng,paai zoeng
排长龙,paai coeng lung,paai coeng lung,paai coeng lung
掓,suk,suk,suk
掔,hin,hin,hin
掔,haan,haan,haan
掕,ling,ling,ling
掕,lang,lang,lang
掕掕跳,lang lang tiu,lang lang tiu,lang lang tiu
掖,jik,jik,jik
掖,jip,jik,jik
掖,jat,jik,jik
掖高,jip gou,jik gu,jik gou
掗,ngaa,ngaa,ngaa
掗,aa,aa,aa
掗位,aa wai,aa wai,aa wai
掗位,ngaa wai,ngaa wai,ngaa wai
掗定,ngaa deng,ngaa deng,ngaa ding
掗碇,ngaa deng,ngaa ding,ngaa ding
掘,gwat,gwat,gwat
掘,fat,gwat,gwat
掘,gwak,gwat,gwat
掘松,gwat sung,gwat slung,gwat sung
掙,zaang,zaang,zaang
掙,zang,zang,zang
掙滿晒,zaang mun saai,zaang mun saai,zaang mun saai
掙錢,zaang cin,zaang cin,zaang cin
掚,loeng,loeng,loeng
掛,gwaa,gwaa,gwaa
掛,kwaa,gwaa,gwaa
掛名,gwaa meng,gwaa meng,gwaa ming
掛斷,gwaa tyun,gwaa tyun,gwaa tyun
掛鉤,gwaa gau,gwaa gau,gwaa gau
掛鉤,gwaa ngau,gwaa ngau,gwaa ngau
掛鉤兒,gwaa ngau ji,gwaa ngau ji,gwaa ngau ji
掜,ngai,ngai,ngai
掜,nip,nip,nip
掝,waak,waak,waak
掝,kwik,kwik,kwik
掝,fik,wak,waak
掝,fik,jak,jaak
掝火,fik fo,wak fo,waak fo
掞,sim,sim,sim
掞,jim,jim,jim
掟,deng,deng,ding
掠,loek,loek,loek
採,coi,coi,coi
採購,coi gau,coi gau,coi gau
採購,coi kau,coi kau,coi kau
採購員,coi kau jyun,coi kau jyun,coi kau jyun
採購商,coi kau soeng,coi kau soeng,coi kau soeng
採青,coi ceng,coi ceng,coi cing
探,taam,taam,taam
探,taam,tam,tam
探测器,taam cak hei,taam cak hi,taam cak hi
探测船,taam cak syun,taam cak syun,taam cak syun
探測器,taam cak hei,taam cak hi,taam cak hi
探測船,taam cak syun,taam cak syun,taam cak syun
探索,taam saak,taam slok,taam sok
探索,taam sok,taam slok,taam sok
探長,taam zoeng,taam zoeng,taam zoeng
探长,taam zoeng,taam zoeng,taam zoeng
掣,zai,zai,zai
掣,cit,cit,cit
掣肘,zai zaau,zai zau,zai zau
掣肘,zai zau,zai zau,zai zau
掤,bing,bing,bing
接,zip,zip,zip
接听,zip teng,zip teng,zip ting
接更,zip gang,zip gang,zip gang
接生,zip saang,zip saang,zip saang
接生,zip sang,zip saang,zip saang
接聽,zip teng,zip teng,zip ting
接触,zip cuk,zip cuk,zip cuk
接触,zip zuk,zip cuk,zip cuk
接触不良,zip zuk bat loeng,zip cuk bat loeng,zip cuk bat loeng
接触器,zip zuk hei,zip cuk hi,zip cuk hi
接觸,zip cuk,zip cuk,zip cuk
接觸,zip zuk,zip cuk,zip cuk
接觸不良,zip zuk bat loeng,zip cuk bat loeng,zip cuk bat loeng
接觸器,zip zuk hei,zip cuk hi,zip cuk hi
掦,tik,tik,tik
控,hung,hung,hung
控,hung,kung,kung
推,teoi,tui,tui
推度,teoi dok,tui dok,tui dok
推病,teoi bing,tui bing,tui bing
推索,teoi saak,tui slok,tui sok
推重,teoi zung,tui zung,tui zung
掩,jim,jim,jim
掩映,jim joeng,jim jing,jim jing
措,cou,co,co
掫,zau,zau,zau
掫,zau,cau,cau
掫,zau,jau,jau
掬,guk,guk,guk
掭,tim,tim,tim
掮,kin,kin,kin
掯,kang,kang,kang
掰,baai,baai,baai
掰,maak,maak,maak
掰,mak,mik,mik
掱,paa,paa,paa
掲,kit,kit,kit
掳,lou,lu,lu
掴,gwaak,gwaak,gwaak
掴,gwok,gwaak,gwaak
掵,ming,ming,ming
掶,zit,zit,zit
掷,zaak,zaak,zaak
掷,zaak,zaai,zaai
掷,zaak,zik,zik
掷地有声,zaak dei jau sing,zaak di jau sing,zaak di jau sing
掸,daan,daan,daan
掸,sin,daan,daan
掸人,sin jan,daan jan,daan jan
掸族,sin zuk,daan zuk,daan zuk
掸桌子,daan zoek zi,daan zoek zi,daan zoek zi
掸邦,sin bong,daan bong,daan bong
掹,mang,mang,mang
掹,maang,mang,mang
掹哈,maang haa,mang haa,mang haa
掹哈,mang haa,mang haa,mang haa
掹掹紧,maang maang gan,mang mang gan,mang mang gan
掹掹緊,maang maang gan,mang mang gan,mang mang gan
掹猫尾,maang maau mei,mang maau mi,mang maau mi
掹猫尾,mang maau mei,mang maau mi,mang maau mi
掹瘕,maang haa,mang haa,mang haa
掹瘕,mang haa,mang haa,mang haa
掹衫尾,maang saam mei,mang saam mi,mang saam mi
掹衫尾,mang saam mei,mang saam mi,mang saam mi
掹貓尾,maang maau mei,mang maau mi,mang maau mi
掹貓尾,mang maau mei,mang maau mi,mang maau mi
掹車邊,maang ce bin,mang ce bin,mang ce bin
掹车边,maang ce bin,mang ce bin,mang ce bin
掹雞,maang gai,mang gai,mang gai
掹雞豆皮,mang gai dau pei,mang gai dau pi,mang gai dau pi
掹鸡,maang gai,mang gai,mang gai
掹鸡豆皮,mang gai dau pei,mang gai dau pi,mang gai dau pi
掺,cam,cam,cam
掺,caam,caam,caam
掺,saam,caam,caam
掺埋你玩,cam maai nei waan,cam maai ni waan,cam maai ni waan
掺埋玩,cam maai waan,cam maai waan,cam maai waan
掻,sou,slu,sou
掼,gwaan,gwaan,gwaan
掼,gwaan,kwaang,kwaang
掽,pung,pung,pung
掾,jyun,jyun,jyun
掿,nok,nok,nok
揀,gaan,gaan,gaan
揀,gaan,gen,gaan
揀蜶,gaan zeot,gaan zat,gaan zat
揀飲擇食,gaan jam zaak sik,gaan jam zaak sik,gaan jam zaak sik
揁,zing,zing,zing
揂,jau,jau,jau
揂,zau,zau,zau
揃,zin,zin,zin
揄,jyu,jyu,jyu
揄,jau,jyu,jyu
揄,jiu,jyu,jyu
揄裤,jau fu,jyu fu,jyu fu
揄褲,jau fu,jyu fu,jyu fu
揅,jin,jin,jin
揆,kwai,kwai,kwai
揇,naam,naam,naam
揈,gwang,gwang,gwang
揈,fing,fang,fang
揈,fang,kwang,kwang
揈揈声,fang fang seng,kwang kwang seng,kwang kwang sing
揈揈聲,fang fang seng,kwang kwang seng,kwang kwang sing
揈机,fang gei,kwang gi,kwang gi
揈機,fang gei,kwang gi,kwang gi
揉,jau,jau,jau
揊,bik,pik,pik
揋,wui,wui,wui
揌,sak,slak,sak
揍,zau,zau,zau
揍,cau,zau,zau
揎,syun,slyun,syun
描,miu,miu,miu
描画,miu waak,miu waak,miu waak
描畫,miu waak,miu waak,miu waak
提,tai,tai,tai
提,si,tai,tai
提款卡,tai fun kaat,tai fun kaa,tai fun kaa
提醒,tai seng,tai sleng,tai sing
提醒,tai sing,tai sling,tai sing
提醒物,tai sing mat,tai sling mat,tai sing mat
揑,nip,nip,nip
插,caap,caap,caap
插,caap,cep,caap
揓,ci,ci,ci
揓,to,to,to
揔,zung,zung,zung
揕,zam,zam,zam
揖,jap,jap,jap
揖,cap,jap,jap
揗,tan,tan,tan
揗,seon,tan,tan
揗,tang,tan,tan
揘,waang,waang,waang
揘,wing,wing,wing
揙,pin,bin,pin
揙,pin,ben,pin
揚,joeng,joeng,joeng
揚聲,joeng sing,joeng sing,joeng sing
換,wun,wun,wun
換行,wun hong,wun hong,wun hong
揜,jim,jim,jim
揜,am,jim,jim
揝,zaan,zaan,zaan
揝,zyut,zyut,zyut
揞,am,am,am
揟,seoi,sui,sui
揟,zeoi,zyu,zyu
揠,aat,aat,aat
握,ak,ak,ak
握,aak,ak,ak
揢,kaa,haak,haak
揢,kik,kik,kik
揢,kak,kaa,kaa
揢,kak,kak,kak
揢,kak,caa,caa
揢手,kak sau,kaa sau,kaa sau
揢手,kik sau,kik sau,kik sau
揣,cyun,cui,cui
揣,ceoi,cyun,cyun
揣度,ceoi dou,cyun du,cyun du
揣度,cyun dok,cui dok,cui dok
揣摩,ceoi mo,cyun mo,cyun mo
揣摩,cyun mo,cui mo,cui mo
揣测,ceoi cak,cyun cak,cyun cak
揣测,cyun caak,cui cak,cui cak
揣测,cyun cak,cui cak,cui cak
揣測,ceoi cak,cyun cak,cyun cak
揣測,cyun caak,cui cak,cui cak
揣測,cyun cak,cui cak,cui cak
揤,zat,zat,zat
揤,zeot,zat,zat
揥,dai,dai,dai
揥,tai,tai,tai
揦,laa,laa,laa
揦手唔成势,laa sau m sing sai,laa sau m sing sai,laa sau m sing sai
揦手唔成勢,laa sau m sing sai,laa sau m sing sai,laa sau m sing sai
揧,laat,laat,laat
揨,caang,caang,caang
揩,haai,haai,haai
揪,zau,zau,zau
揪,cau,zau,zau
揪痛脚,cau tung goek,zau tung goek,zau tung goek
揪痛腳,cau tung goek,zau tung goek,zau tung goek
揫,zau,zau,zau
揬,dat,dat,dat
揭,kit,kit,kit
揭,gai,gat,gat
揭,kai,gat,gat
揭,hei,gat,gat
揮,fai,fai,fai
揮,fai,wai,fai
揯,gang,gang,gang
揰,cung,cung,cung
揱,sok,slok,sok
揱,siu,sliu,siu
揱,siu,sok,sok
揲,dip,dip,dip
揲,jip,jip,jip
揲,sit,sit,sit
揲,sip,sip,sip
揳,sit,slit,sit
揳,sip,slit,sit
揳,gaat,slit,sit
揳,kit,slit,sit
揳,git,slit,sit
援,jyun,jyun,jyun
援,wun,jyun,jyun
援助,jyun zo,jyun zo,jyun zo
援助,wun zo,jyun zo,jyun zo
援助之手,wun zo zi sau,jyun zo zi sau,jyun zo zi sau
援助交际,wun zo gaau zai,jyun zo gaau zai,jyun zo gaau zai
援助交際,wun zo gaau zai,jyun zo gaau zai,jyun zo gaau zai
援助机构,wun zo gei kau,jyun zo gi kau,jyun zo gi kau
援助機構,wun zo gei kau,jyun zo gi kau,jyun zo gi kau
援藏,wun zong,jyun zong,jyun zong
揵,kin,kin,kin
揵,gin,gin,gin
揶,je,je,je
揷,caap,caap,caap
揸,zaa,zaa,zaa
揸,zaa,jaa,jaa
揸个扒,zaa go baa,zaa go paa,zaa go paa
揸个扒,zaa go paa,zaa go paa,zaa go paa
揸個扒,zaa go baa,zaa go paa,zaa go paa
揸個扒,zaa go paa,zaa go paa,zaa go paa
揸大葵扇,zaa daai kwai sin,zaa daai kwai sin,zaa daai kwai sin
揸弗,zaa fit,zaa fat,zaa fat
揸正,zaa zeng,zaa zeng,zaa zing
揸頸就命,zaa geng zau meng,zaa geng zau meng,zaa ging zau ming
揸颈就命,zaa geng zau meng,zaa geng zau meng,zaa ging zau ming
揹,bui,bui,bui
揺,jiu,jiu,jiu
揻,wai,wai,wai
揼,dam,dam,dam
揼,dap,dam,dam
揼低,dap dai,dam dai,dam dai
揼杯,dap bui,dam bui,dam bui
揼死,dap sei,dam sli,dam si
揼波拿,dam bo laa,dam bo naa,dam bo naa
揼湿,dap sap,dam sap,dam sap
揼溼,dap sap,dam sap,dam sap
揼石仔,dap sek zai,dam sek zai,dam sek zai
揼碎,dap seoi,dam slui,dam sui
揼骨,dap gwat,dam gwat,dam gwat
揽,laam,laam,laam
揽鼓,laam si,laam gu,laam gu
揾,wan,wan,wan
揾,man,wan,wan
揾位坐,wan wai co,wan wai co,wan wai co
揾命搏,wan meng bok,wan meng bok,wan ming bok
揾朝唔得晚,wan ziu m dak maan,wan ziu m dak maan,wan ziu m dak maan
揿,gam,gam,gam
揿,kam,gam,gam
搀,caam,caam,caam
搀,caam,cem,caam
搁,gok,gok,gok
搁,gok,kok,kok
搂,lau,lau,lau
搂席,lau zek,lau zek,lau zek
搃,zung,zung,zung
搄,gang,gang,gang
搅,gaau,gaau,gaau
搅,gaau,geu,gaau
搅得有声有色,gaau dak jau seng jau sik,gaau dak jau seng jau sik,gaau dak jau sing jau sik
搅搅捧,gaau gaau paang,gaau gaau bung,gaau gaau bung
搅正,gaau zeng,gaau zeng,gaau zing
搅涴,gaau waang,gaau wo,gaau wo
搆,kau,gau,gau
搆,gau,gau,gau
搇,gam,gam,gam
搇,kam,kam,kam
搈,jung,jung,jung
搉,kok,kok,kok
搉,gok,kwak,kwak
搊,cau,cau,cau
搊,cau,jau,cau
搋,caai,caai,caai
搋,ci,caai,caai
搌,zin,zin,zin
損,syun,slyun,syun
搎,syun,slyun,syun
搏,bok,bok,bok
搏命,bok meng,bok meng,bok ming
搏晒老命,bok saai lou meng,bok saai lu meng,bok saai lou ming
搏老命,bok lou meng,bok lu meng,bok lou ming
搏老命,bok lou ming,bok lu ming,bok lou ming
搐,cuk,cuk,cuk
搐,caau,cuk,cuk
搑,jung,jung,jung
搑,jung,nung,nung
搒,paang,paang,paang
搒,bong,bong,bong
搒,pong,bong,bong
搒,pang,bong,bong
搓,co,co,co
搔,sou,slu,sou
搕,ap,ap,ap
搕,hap,hap,hap
搖,jiu,jiu,jiu
搖滾樂,jiu gwan ngok,jiu gwan ngok,jiu gwan ngok
搗,dou,du,dou
搘,zi,zi,zi
搙,luk,nuk,nuk
搙,nuk,nuk,nuk
搚,lap,lap,lap
搚,hip,hip,hip
搛,gim,gim,gim
搛,lim,gim,gim
搜,sau,slau,sau
搜索,sau saak,slau slok,sau sok
搜索,sau sok,slau slok,sau sok
搜索詞,sau sok ci,slau slok ci,sau sok ci
搜索词,sau sok ci,slau slok ci,sau sok ci
搝,hau,hau,hau
搞,gaau,gaau,gaau
搞得有声有色,gaau dak jau seng jau sik,gaau dak jau seng jau sik,gaau dak jau sing jau sik
搞得有聲有色,gaau dak jau seng jau sik,gaau dak jau seng jau sik,gaau dak jau sing jau sik
搞正,gaau zeng,gaau zeng,gaau zing
搞脶,gaau wo,gaau lo,gaau lo
搞腡,gaau wo,gaau lo,gaau lo
搟,hin,hin,hin
搠,sok,slok,sok
搠,sok,sok,sok
搡,song,slong,song
搢,zeon,zan,zan
搣,mit,mit,mit
搤,ak,ak,ak
搥,ceoi,cui,cui
搦,nik,nik,nik
搦,nok,nik,nik
搦,lik,nik,nik
搦得起放得低,lik dak hei fong dak dai,nik dak hi fong dak dai,nik dak hi fong dak dai
搧,sin,sin,sin
搨,taap,taap,taap
搩,git,git,git
搩,git,gat,gat
搪,tong,tong,tong
搫,po,faan,faan
搫,pun,pun,pun
搬,bun,bun,bun
搬石头打自己只脚,bun sek tau daa zi gei zek geot,bun sek tau daa zi gi zek goek,bun sek tau daa zi gi zek goek
搬石頭打自己隻腳,bun sek tau daa zi gei zek geot,bun sek tau daa zi gi zek goek,bun sek tau daa zi gi zek goek
搭,daap,daap,daap
